,Id,Title,Date,DateAcquired
40655,558,The Golden Bough,1834,1847
40622,261,Study of a Monk’s Head for ‘Editha and the Monks’,1834,1847
40723,169,Scene from ‘The Devil upon Two Sticks’,1844,1847
40650,172,Female Bathers Surprised by a Swan. Verso: Terpsichore (?) with Putti,1841,1847
40621,261,Study of Editha’s Head for ‘Editha and the Monks’,1834,1847
40642,172,"Candaules, King of Lydia, Shews his Wife by Stealth to Gyges, One of his Ministers, as She Goes to Bed",1830,1847
40640,172,"Youth on the Prow, and Pleasure at the Helm",1830,1847
40637,399,Yorick and the Grisette,1830,1847
40627,78,Dutch Landscape with Cattle,1830,1847
40704,240,Interior of a Polish Synagogue at the Moment when the Manuscript of the Law is Elevated,1829,1847
40693,323,Highland Music,1829,1847
40718,351,Landscape(‘The Windmill’),1844,1847
40705,251,Sir Thomas More and his Daughter,1844,1847
40700,608,"Stepping Stones on the Machno, North Wales - Study from Nature",1844,1847
40687,518,"Oude Scheld - Texel Island, Looking towards Nieuwe Diep and the Zuider Zee",1844,1847
40686,346,A Scene from Tristram Shandy (‘Uncle Toby and the Widow Wadman’),1829,1847
41530,16,The First Duke of Wellington (after Joseph Nollekens),1828,1847
40727,110,"Undercliff Cave, Isle of Wight",1836,1847
40661,98,Falstaff’s Assignation with Mrs Ford,1830,1847
40631,78,Entrance to Pisa from Leghorn,1833,1847
40630,78,Littlehampton Pier,1811,1847
40682,166,"The Escape of Francesco Novello di Carrara, with his Wife, from the Duke of Milan",1850,1847
40629,78,Sketch for ‘The Benighted Traveller’,1832,1847
40653,558,"The Prince of Orange, William III, Embarked from Holland, and Landed at Torbay, November 4th, 1688, after a Stormy Passage",1832,1847
40716,112,Among the Cumberland Mountains - Mist Clearing Off,1847,1847
40599,199,Sunset: Carthorses Drinking at a Stream,1760,1847
40593,606,Lake Avernus and the Island of Capri,1760,1847
40703,365,Scene from ‘Twelfth Night’ (‘Malvolio and the Countess’),1840,1847
40712,580,"The South Sea Bubble, a Scene in ‘Change Alley in 1720",1847,1847
40634,279,The Florentine Girl (‘The Artist’s Daughter’),1827,1847
40683,454,"Entrance to the North Transept, Cathedral of Burgos",1835,1847
40648,172,"Window in Venice, during a Festa",1831,1847
40721,321,The Red Cap,1847,1847
40670,560,The Vintage in the Claret Vineyards of the South of France,1847,1847
40728,214,The Village Holiday,1847,1847
40641,172,The Persian,1834,1847
40730,252,The Frugal Meal,1847,1847
40636,105,Prawn Fishing,1828,1847
40623,261,Cupid and Nymph,1828,1847
40708,441,Country Cousins,1847,1847
40610,531,Intemperance: Mark Antony and Cleopatra,1802,1847
40684,454,"Chancel of the Collegiate Church of St Paul, at Antwerp",1848,1847
40601,457,Lady Hamilton (?as a Figure in ‘Fortune Telling’),1782,1847
40722,321,Fruit (‘The Summer Gift’),1848,1847
41258,207,Hylas Surprised by the Naiades,1827,1847
40666,495,Head of a Man (?Ira Frederick Aldridge),1827,1847
40592,606,"Maecenas’ Villa, Tivoli",1765,1847
40591,606,Hadrian’s Villa,1765,1847
40590,606,Strada Nomentana,1765,1847
40681,166,"Haidée, a Greek Girl",1827,1847
40719,325,Enthusiast (‘The Gouty Angler’),1828,1847
40710,580,"Doctor Johnson in the Ante-Room of the Lord Chesterfield Waiting for an Audience, 1748",1845,1847
40668,616,Archimedes,1832,1847
40672,300,The Burning Fiery Furnace,1832,1847
40624,261,Rebecca and Abraham’s Servant at the Well,1833,1847
40713,604,Italian Girl with Tambourine,1837,1847
40664,397,Landscape,1807,1847
40614,108,The Valley Farm,1835,1847
40699,339,"Sea Coast, Sunrise",1834,1847
40733,231,Council of War at Courtray,1839,1847
40724,424,"Amoret, Aemylia and Prince Arthur, in the Cottage of Sclaunder",1845,1847
40707,590,A Dame’s School,1845,1847
40617,600,A Woody Landscape,1822,1847
40667,616,Vigilance,1835,1847
40652,490,Thomas Morton Esq.,1835,1847
40643,172,The Lute Player,1835,1847
40628,78,Wooden Bridge,1835,1847
40658,41,"View of the Piazzetta near the Square of St Mark, Venice",1827,1847
40680,166,Christ Lamenting over Jerusalem,1846,1847
40619,600,"The Peep-o’-Day Boys’ Cabin, in the West of Ireland",1835,1847
40594,444,Sir Abraham Hume,1783,1847
40639,205,Dull Reading,1826,1847
40597,199,Musidora,1780,1847
40603,480,A View of Westminster Bridge and Parts Adjacent,1758,1847
40662,213,A Man Reading,1827,1847
40602,480,A View of London Bridge before the Late Alterations,1758,1847
40660,55,Romeo and Juliet - Act II Scene 5 (‘Juliet and her Nurse’),1827,1847
40659,55,The First Interview between the Spaniards and the Peruvians,1827,1847
40647,172,Il Duetto (‘The Duet’),1838,1847
40696,425,Robert Vernon,1846,1847
40694,323,Deer and Deer Hounds in a Mountain Torrent (‘The Hunted Stag’),1832,1847
40711,580,"The Disgrace of Lord Clarendon, after his Last Interview with the King - Scene at Whitehall Palace, in 1667 (replica)",1846,1847
40677,392,Fair Time (‘Returning from the Ale-House’),1809,1847
40626,78,Dutch Coast Scene,1832,1847
40651,490,A Young Bacchus,1824,1847
40678,392,The Ford (‘Crossing the Ford’),1842,1847
40665,397,A Landscape (‘The Angler’s Nook’),1825,1847
40714,604,Pilgrims Reposing at a Cross,1835,1847
40689,518,Lake Como,1825,1847
40600,162,Cottage Children,0,1847
40701,608,The Hop Garland,1843,1847
40607,531,A Woodland Dance,0,1847
40611,531,A Battle,0,1847
40702,365,The Play Scene in ‘Hamlet’,1842,1847
40612,36,The Raffle for the Watch,0,1847
40657,4,Tartar Robbers Dividing Spoil,1817,1847
40645,172,The Saviour or the Disciple,0,1847
40729,214,The Tired Soldier Resting at a Roadside Well,1842,1847
40669,581,View in Tabley Park,1813,1847
40620,261,Editha and the Monks Searching for the Body of Harold,1834,1847
40613,334,The Countess of Darnley,1825,1847
40671,560,Le Chapeau de Brigand,1839,1847
40605,145,"Lake Scene, Evening",1792,1847
40616,600,The Bag-Piper,1813,1847
40726,110,Dutch Boats in a Calm,1843,1847
40685,346,Sancho Panza in the Apartment of the Duchess,1843,1847
40615,600,The First Ear-Ring,1834,1847
40731,193,Interior of a Cottage in the Hebrides,1835,1847
40633,78,The Shore at Scheveningen (after Willem van de Velde),1820,1847
40649,172,The Magdalen,1842,1847
40663,391,Eastern Landscape,1843,1847
40656,558,"The Dogano, San Giorgio, Citella, from the Steps of the Europa",1842,1847
40583,537,William Woollett the Engraver,1783,1849
41531,31,Robert Vernon,1849,1850
40584,537,"Benjamin West, P.R.A.",1781,1853
40586,276,William Pitt,1806,1853
40585,600,"Thomas Daniell, R.A.",1838,1853
41936,606,"View near the Loggerheads, Denbigh",1765,1854
41931,606,The Inner Temple after the Fire of 4 January 1737,1737,1854
41357,606,A View of the Thames,0,1854
41356,606,George III and the Duke of York,1749,1854
41929,59,Classical Landscape with Mountains,1720,1854
41934,19,Landscape,1800,1854
41932,59,Landscape with a Dark Tree,1750,1854
41930,542,Paddlers among Ruins,0,1854
41925,559,A Water Mill,0,1854
43822,606,"View of Carlton House, with a Royal Party in the Grounds",1732,1854
41926,559,Skating,0,1854
41927,559,Peasants outside an Inn,0,1854
41933,2567,Italianate Landscape with Town and Waterfall,0,1854
40587,600,The Parish Beadle,1820,1854
41928,59,The Tummel,1750,1854
40588,606,Lake Avernus,0,1854
41359,606,Niagara Falls,0,1854
41358,606,Valley with a Bridge over a River,0,1855
20508,558,"View across Country, with River in Foreground",1822,1856
27268,558,Part of a Sketch of Rouen from St Catherine’s Hill with the Tower of St Ouen; and Tower on a Hillside,1821,1856
20474,558,Blank,1822,1856
20475,558,Blank,1822,1856
20506,558,Banks of the Thames Near Isleworth,1822,1856
20505,558,Blank,1822,1856
41862,558,"George IV at the Provost’s Banquet in the Parliament House, Edinburgh",1822,1856
27270,558,"Figures in a Barge at ?Rouen; Château Robert-le-Diable, near La Bouille from River",1821,1856
20476,558,Blank,1822,1856
27269,558,"Four Sketches: Rouen from the South-East; Le Havre, Ste-Adresse, and Cap de la Hève",1821,1856
20507,558,Blank,1822,1856
41861,558,"George IV at St Giles’s, Edinburgh",1822,1856
20537,558,Studies for Classical Compositions,1822,1856
32167,558,On Coast,1835,1856
32161,558,On Coast,1835,1856
32173,558,Town on River Bank,1835,1856
32172,558,"Bridge, with Towers, Etc.",1835,1856
20462,558,Blank,1822,1856
27262,558,Details of Architecture: Cemetery and the ?Louvre,1821,1856
32171,558,Views,1835,1856
35084,558,[blank],1835,1856
28216,558,Dover Castle from the Sea: Preparatory Study,1822,1856
28217,558,A Storm (Shipwreck): Preparatory Study,1822,1856
27276,558,View of the River Seine at Saint-Cloud,1821,1856
27263,558,Dogs Foraging at the Quayside in Rouen; Another Sketch of the Quayside Rouen; and two Sketches Inscribed ‘St. Vallery’,1821,1856
32170,558,Aux... [Turner],1835,1856
32169,558,Le Bourg [Turner],1835,1856
32168,558,On Coast,1835,1856
27271,558,Dieppe from the North,1821,1856
27265,558,The West Front of Rouen Cathedral,1821,1856
28079,558,A Stormy Sunset,1822,1856
32154,558,Coast Scene,1835,1856
32166,558,On Coast,1835,1856
32164,558,On Coast,1835,1856
32163,558,On Coast,1835,1856
27266,558,"Rouen, from the River Seine to the South-West",1821,1856
32162,558,On Coast,1835,1856
27267,558,Rouen: Place de la Pucelle with the Statue of Joan of Arc and Hotel Bourgtheroulde; and Quay with Shipping,1821,1856
28123,558,"Bay on the Coast with Stormy Sky, possibly Ramsgate",1822,1856
27272,558,Bridge of Saint-Cloud and Sèvres,1821,1856
20041,558,Folkestone Church,1821,1856
20510,558,Seascape,1822,1856
20515,558,"Seascape, with Land in Distance",1822,1856
21364,558,Blank,1821,1856
20466,558,Blank,1822,1856
21362,558,Blank,1821,1856
21361,558,"River Scene, with Boats",1821,1856
20465,558,Blank,1822,1856
20535,558,Studies for Classical Compositions,1822,1856
20480,558,Blank,1822,1856
20504,558,Blank,1822,1856
20477,558,Blank,1822,1856
32160,558,On Coast,1835,1856
32177,558,"Street Scene, Etc.",1835,1856
32176,558,Buildings in a Town,1835,1856
20467,558,Blank,1822,1856
20503,558,Figure Fishing in a Boat on the Thames Near Isleworth,1822,1856
20482,558,Blank,1822,1856
20483,558,Blank,1822,1856
20484,558,Blank,1822,1856
21360,558,Blank,1821,1856
20485,558,Blank,1822,1856
20486,558,Blank,1822,1856
20487,558,Blank,1822,1856
20488,558,Blank,1822,1856
20489,558,Blank,1822,1856
20490,558,Blank,1822,1856
20491,558,Blank,1822,1856
20492,558,Blank,1822,1856
20493,558,Blank,1822,1856
20481,558,Blank,1822,1856
20509,558,"Seascape, with Fortification on Cliffs in Distance",1822,1856
32178,558,Ruined Castle on Rock,1835,1856
20514,558,A Storm,1822,1856
27273,558,The Seine at Paris and Rouen,1821,1856
20473,558,Blank,1822,1856
20472,558,Blank,1822,1856
27274,558,"The Lanterne, Saint-Cloud",1821,1856
20471,558,Blank,1822,1856
27251,558,"Sketches in the Tuileries, Paris and a Classical Composition",1821,1856
27275,558,Paris: ‘Buttes de Chaumont’,1821,1856
27264,558,Bridges at Saint-Cloud,1821,1856
21369,558,The Farnley Chest,1821,1856
27245,558,Towers of Rouen Cathedral from the East,1821,1856
27244,558,Details of Cathedral Towers and Rue de la Grosse-Horloge,1821,1856
28080,558,The Distant Tower,1822,1856
20511,558,Seascape,1822,1856
33249,558,Three Sketches of Towns on the Waal Branch of the Rhine; A Sailing Ship,1835,1856
20469,558,Blank,1822,1856
21366,558,"Views on Seine, One at Montmartre",1821,1856
20468,558,Blank,1822,1856
35062,558,[blank],1835,1856
27230,558,Château de Dieppe,1821,1856
27229,558,Paris from Saint-Cloud,1821,1856
27228,558,FiguresPushing Carts,1821,1856
27227,558,Figure Studies,1821,1856
27226,558,"Studies of Normandy Caps; Figures, Boats, and the Harbour of Le Havre",1821,1856
20512,558,"Seascape, with Sailing Boat",1822,1856
20513,558,"Harbour with Vessels, possibly Portsmouth",1822,1856
27224,558,Views in Rouen: Quayside; Rouen from St Catherine’s Hill; Banks of the Seine; Group of Boats on the Seine,1821,1856
35061,558,[blank],1835,1856
21365,558,"Meadow, with Stream and Cattle, Perhaps at Fulham",1821,1856
35063,558,[blank],1835,1856
20470,558,Blank,1822,1856
32155,558,Coast Scene,1835,1856
27261,558,"Copies of Poussin’s ‘Landscape, with Diogenes’ and Two Pictures by Claude Lorrain in the Louvre Collection (‘Seaport with the Landing of Cleopatra’ and ‘Landscape, with Samuel Annointing David’); Designs for a Picture Entitled ‘The Prodigal Son’",1821,1856
20357,558,Continuation of a View of Edinburgh from the Village of Dean,1822,1856
20358,558,The Procession to Edinburgh Castle with the Regalia Seen from the Half Moon Battery,1822,1856
20359,558,Blank,1822,1856
20458,558,"Variant Study of the Hillside of St Cloud, France with Classical Ruins",1821,1856
20360,558,Continuation of a View Looking Down Leith Walk to the Firth of Forth,1822,1856
20361,558,"View Looking down Leith Walk to the Firth of Forth, with the Triumphal Arch and Barrier Gate at Union Place",1822,1856
35065,558,Shipping,1835,1856
20362,558,"Sketches of the View North from Leith Walk with Triumphal Arch; Caroline Park, Granton; and Continuation of Edinburgh from Arthur’s Seat",1822,1856
20363,558,Edinburgh from Arthur’s Seat: A Procession Towards Holyrood,1822,1856
21370,558,The Farnley Chest; Also a Landscape of Scene at Twickenham,1821,1856
20364,558,"The Precincts of Edinburgh Castle: The Royal Palace, Portcullis Gate; Continuation of a View of Edinburgh from the Castle",1822,1856
35064,558,Shipping,1835,1856
20365,558,View of Edinburgh from the Castle: Looking Down the Royal Mile,1822,1856
20366,558,"Edinburgh Castle, Looking towards the Half Moon Battery, with the King’s Lodgings on the Right",1822,1856
20356,558,Edinburgh from the Village of Dean,1822,1856
20367,558,View of Edinburgh Continued: Arthur’s Seat,1822,1856
20369,558,Details of Highland Dress,1822,1856
20459,558,Sketches of Shipping and the Sky at Sea,1822,1856
27277,558,"Views at Saint-Cloud; and Montmartre Cemetery, Paris",1821,1856
27250,558,"Views on the River Seine: Caudebec-en-Caux, Villequir, Tancarville and Quillebeuf",1821,1856
32138,558,Coast Scene,1835,1856
20461,558,Design of the King in the Royal Barge,1822,1856
32137,558,Nice,1835,1856
20552,558,Study of a Boat,1822,1856
20553,558,Boats in a Squall: ?Study for ‘Mouth of the Humber’,1822,1856
20554,558,A Storm off the Coast: ?Study for ‘Sheerness’,1822,1856
20555,558,The Landing of George IV at Leith,1822,1856
20556,558,River Scene (1): ?Yorkshire,1822,1856
20557,558,River Scene (2),1822,1856
20151,558,"?Cape Le Ferne, Houghall [Turner]",1821,1856
20368,558,Pencil Marks,1822,1856
27252,558,Boat Sailing on the River Seine at Rouen,1821,1856
20355,558,Holyrood Palace and Abbey Seen from Calton Hill,1822,1856
20353,558,Continuation of a View of Edinburgh from Calton Hill; Composition Perhaps Relating to the Regalia Ceremony at Holyrood; Granton Castle and the Firth of Forth with Inchkeith,1822,1856
27289,558,"A Building, ?the Church at Quillebeuf",1821,1856
20390,558,Continuation of the Procession to Edinburgh Castle Seen from the Half Moon Battery,1822,1856
20391,558,"The Half Moon Battery, Edinburgh Castle, from a Window in the Royal Palace",1822,1856
27249,558,The Aqueduct at Arcueil,1821,1856
20392,558,Figures on the Procession to Edinburgh Castle with the Regalia,1822,1856
20393,558,The Procession to Edinburgh Castle with the Regalia Seen from the Royal Palace,1822,1856
20394,558,Continuation of the Procession to Edinburgh Castle Seen from the Royal Palace,1822,1856
20395,558,Troops Lined up on the Esplanade During the Procession to Edinburgh Castle with the Regalia,1822,1856
20396,558,Blank,1822,1856
20373,558,Inscription,1822,1856
20371,558,Firth of Forth from near Hopetoun; Hopetoun House; Group of Figures,1822,1856
20346,558,"Details of the Interior of St Giles’s Cathedral, Edinburgh",1822,1856
20370,558,Details of Highland Dress,1822,1856
20347,558,Details of the Interior of St Giles’s Cathedral; Edinburgh from Calton Hill with the City Observatory,1822,1856
20354,558,The Procession to Edinburgh Castle with the Regalia seen from the Castle: The King’s Carriage at the Barrier Gate,1822,1856
20348,558,"Interior of St Giles’s Cathedral: Study for ‘George IV at St Giles’s, Edinburgh’",1822,1856
27246,558,Sketches of Columns and a Ground Plan; Views of the Aqueduct at Arcueil,1821,1856
20349,558,"Interior of St Giles’s Cathedral: Study for ‘George IV at St Giles’s, Edinburgh’",1822,1856
20446,558,"Roadway, with Sheep",1821,1856
20447,558,"Landscape, with Figures",1821,1856
20448,558,Landscapes,1821,1856
20450,558,"Landscapes, with Trees",1821,1856
20452,558,"Landscape, with Bridge",1821,1856
20454,558,Composition Study for a Painting; Study of the Sky; and a view of Edinburgh,1821,1856
20455,558,Composition Studies for a Painting; North Berwick Law; and Caroline Park,1821,1856
20350,558,"Foundation Stone of the National Monument, Calton Hill; and Sketches of the Firth of Forth",1822,1856
20456,558,"Landscape, with Bay, Castle and Rocks in Mid-Distance",1821,1856
20351,558,Sketches of Shipping in Leith Roads and the Firth of Forth with Barnbougle Castle,1822,1856
20457,558,A Mill-Wheel,1821,1856
20352,558,Edinburgh and the Firth of Forth from Calton Hill; and Carriage and Figures Probably Associated with the Procession to Edinburgh Castle with the Regalia,1822,1856
27248,558,Dieppe: The Quai Henry IV,1821,1856
42142,558,"Rouen: The Left Bank, with  Shipping Beyond",1822,1856
20558,558,River Scene (3),1822,1856
32136,558,Nice,1835,1856
28067,558,"Harbour with Shipping, possibly Custom House",1822,1856
32135,558,Nice,1835,1856
20536,558,Blank,1822,1856
32141,558,"Harbour, Nice",1835,1856
28083,558,"Boats on Shore, possibly Folkestone",1822,1856
32134,558,N [Turner] (Nice),1835,1856
28233,558,Tail and Head of a Fish; Colour Trials,1822,1856
28088,558,Figures on the Sands,1822,1856
28089,558,Study for ‘Rokeby’,1822,1856
39173,558,Two Figures Standing on a Crag; Caley Crags near Otley,1822,1856
39174,558,Two Figures Standing on Caley Crags at Otley Chevin above Wharfedale,1822,1856
28096,558,"The Terrace, possibly Custom House",1822,1856
20943,558,"Rochester, on the River Medway",1822,1856
20935,558,"Norham Castle, on the River Tweed",1822,1856
40493,558,[title not known],1822,1856
20924,558,"Dartmouth Castle, on the River Dart",1822,1856
16559,558,Frontispiece to Volume Two of The Provincial Antiquities and Picturesque Scenery of Scotland,1822,1856
32153,558,Coast Scene,1835,1856
16558,558,Frontispiece to Volume One of The Provincial Antiquities and Picturesque Scenery of Scotland,1822,1856
28101,558,"Town, from the Sea; possibly Margate",1822,1856
14937,558,Lindley Bridge and Hall from the River Washburn near Farnley Hall,1822,1856
27256,558,"Rouen Cathedral from the Grand Cours, Faubourg St-Sever; and Entrance to the Church of St Maclou, Rouen",1821,1856
27257,558,"Sketches on the Banks of the Seine near La Bouille, below Rouen, Showing the Château Robert-le-Diable",1821,1856
28108,558,Boats off a Jetty; Colour Study,1822,1856
27258,558,"A Bend of the River Seine, perhaps from Canteleu near Rouen",1821,1856
20494,558,Blank,1822,1856
27259,558,Rouen from the Quayside; and Sketch relating to a Watteau-School Painting,1821,1856
32174,558,"Town, with Mountains",1835,1856
27260,558,Studies Made in the Louvre: Two Composition Studies Based on Claude; Figure Studies,1821,1856
41877,558,"George IV’s Departure from the ‘Royal George’, 1822",1822,1856
20923,558,"Dartmouth, on the River Dart",1822,1856
20559,558,River Scene (4),1822,1856
37447,558,"Guards at the Provost’s Banquet, Edinburgh",1822,1856
37449,558,"Guards at the Provost’s Banquet, Edinburgh",1822,1856
20560,558,River Scene (5),1822,1856
28040,558,Headland on Coast,1822,1856
43746,558,An Avenue of Trees,1822,1856
28130,558,A Pink Sky above a Grey Sea,1822,1856
28129,558,Study for ‘Rokeby’,1822,1856
28062,558,Mount Batten Point across Plymouth Sound,1822,1856
28127,558,Study for ‘Rokeby’,1822,1856
28126,558,Study for ‘Rokeby’,1822,1856
20551,558,Study of a Boat,1822,1856
20550,558,Study of a Boat,1822,1856
27253,558,The Banks of the River Seine Looking Towards Paris from near Passy,1821,1856
27254,558,Harbour and ‘Fish Market Dieppe’,1821,1856
20548,558,Folkestone,1822,1856
20538,558,Blank,1822,1856
37448,558,"The Canopy, with the King’s Arms, and a Candelabra at the Provost’s Banquet, Edinburgh",1822,1856
20539,558,Studies for Classical Compositions,1822,1856
20541,558,Studies for Classical Compositions,1822,1856
20542,558,Blank,1822,1856
20543,558,Studies for Classical Compositions,1822,1856
20544,558,Blank,1822,1856
27255,558,View from Saint-Cloud with a Bridge over the River Seine,1821,1856
20545,558,Studies for Classical Compositions,1822,1856
20547,558,"Cliffs, from the Sea",1822,1856
20549,558,Folkestone,1822,1856
40504,558,[title not known],1822,1856
40425,558,Two Groups of Figures,1822,1856
37453,558,"Figures: a Page, a Yeoman, and an Attendant at the Provost’s Banquet, Edinburgh",1822,1856
37452,558,"The Provost’s Banquet, Parliament House, Edinburgh",1822,1856
37451,558,Trees on a Riverbank,1822,1856
37450,558,"Figures at the Provost’s Banquet, Edinburgh",1822,1856
20540,558,Blank,1822,1856
20495,558,Blank,1822,1856
20502,558,Figures in a Boat,1822,1856
20496,558,Blank,1822,1856
20116,558,At South Foreland,1821,1856
20048,558,"Figures, Etc., on Coast",1821,1856
21354,558,Sketches and Diagrams of Fishing Boats at Dieppe,1821,1856
20009,558,A Lighthouse on Cliff (?South Foreland),1821,1856
20046,558,?Dover or Rochester Castle,1821,1856
32165,558,On Coast,1835,1856
20150,558,Various Figures,1821,1856
20003,558,"Road, with Town in Distance (?Oxford)",1821,1856
27247,558,Two Sketches of the Aqueduct at Arcueil,1821,1856
20148,558,[blank],1821,1856
32133,558,N [Turner] (Nice),1835,1856
20018,558,[blank],1821,1856
20017,558,[blank],1821,1856
32132,558,Nice,1835,1856
20115,558,At South Foreland [Turner],1821,1856
32131,558,Nice from the ... [Turner],1835,1856
32116,558,Coast Scene,1835,1856
32115,558,Coast Scene,1835,1856
32114,558,Coast Scene,1835,1856
40051,558,Chest at Farnley; Seated Woman; Two Men with a Telescope; and Inscriptions,1821,1856
32113,558,Coast Scene,1835,1856
32112,558,?Water Spout over Monaco [Turner],1835,1856
32111,558,Coast Scene,1835,1856
32110,558,Coast Scene,1835,1856
